November,December,January,February,March,year
0,0,0,0,0,1940
0,0,0,0,0,1941
0,0,0,0,0,1942
0,0,0,0,0,1943
0,0,0,0,0,1944
0,0,0,0,0,1945
0,0,0,0,0,1946
100,100,100,100,96.7741935483871,1947
100,100,100,100,100,1948
100,100,100,96.4285714285714,100,1949
100,100,100,100,100,1950
100,100,100,100,100,1951
100,100,100,100,100,1952
100,100,100,100,100,1953
100,100,100,100,100,1954
100,100,100,100,100,1955
100,100,100,100,100,1956
100,100,100,100,100,1957
100,100,100,100,100,1958
100,100,100,100,100,1959
100,93.5483870967742,100,100,100,1960
100,100,100,100,100,1961
100,100,100,100,100,1962
100,100,100,100,100,1963
100,100,100,100,100,1964
100,100,100,100,100,1965
100,100,100,100,100,1966
100,100,100,100,100,1967
100,100,100,100,100,1968
100,100,100,100,100,1969
100,100,100,100,100,1970
100,100,100,100,100,1971
100,100,100,100,100,1972
100,100,96.7741935483871,100,93.5483870967742,1973
100,96.7741935483871,100,96.4285714285714,100,1974
100,100,100,100,100,1975
100,100,100,100,100,1976
96.6666666666667,100,96.7741935483871,100,96.7741935483871,1977
100,100,100,100,100,1978
100,93.5483870967742,100,100,100,1979
96.6666666666667,96.7741935483871,100,100,100,1980
96.6666666666667,96.7741935483871,93.5483870967742,92.8571428571429,96.7741935483871,1981
96.6666666666667,87.0967741935484,100,100,96.7741935483871,1982
93.3333333333333,100,93.5483870967742,89.2857142857143,80.6451612903226,1983
96.6666666666667,90.3225806451613,96.7741935483871,72.4137931034483,87.0967741935484,1984
100,96.7741935483871,96.7741935483871,85.7142857142857,93.5483870967742,1985
100,96.7741935483871,93.5483870967742,82.1428571428571,87.0967741935484,1986
96.6666666666667,83.8709677419355,96.7741935483871,89.2857142857143,90.3225806451613,1987
90,100,96.7741935483871,100,90.3225806451613,1988
96.6666666666667,96.7741935483871,93.5483870967742,85.7142857142857,100,1989
96.6666666666667,100,96.7741935483871,96.4285714285714,100,1990
90,96.7741935483871,100,96.4285714285714,100,1991
80,100,100,96.551724137931,100,1992
100,70.9677419354839,0,0,83.8709677419355,1993
83.3333333333333,93.5483870967742,100,92.8571428571429,80.6451612903226,1994
96.6666666666667,96.7741935483871,90.3225806451613,100,96.7741935483871,1995
100,100,100,100,100,1996
96.6666666666667,96.7741935483871,100,100,96.7741935483871,1997
100,100,100,100,100,1998
100,100,96.7741935483871,100,100,1999
100,100,100,100,100,2000
100,100,100,100,100,2001
100,96.7741935483871,100,100,100,2002
100,100,96.7741935483871,100,100,2003
96.6666666666667,100,100,100,100,2004
96.6666666666667,100,100,100,100,2005
100,100,100,100,96.7741935483871,2006
100,100,100,100,96.7741935483871,2007
100,100,100,100,96.7741935483871,2008
100,100,100,100,96.7741935483871,2009
100,100,100,100,96.7741935483871,2010
100,100,100,100,96.7741935483871,2011
100,100,100,100,96.7741935483871,2012
100,100,100,100,96.7741935483871,2013
100,100,100,100,96.7741935483871,2014
100,100,100,100,96.7741935483871,2015
